page	ayah	ar	en	bn	surah	root
1	1	بِسۡمِ	In (the) name	নামে	1	سمو
1	1	ٱللَّهِ	(of) Allah	আল্লাহ (র)	1	اله
1	1	ٱلرَّحۡمَٰنِ	the Most Gracious	পরম করুণাময়	1	رحم
1	1	ٱلرَّحِيمِ	the Most Merciful	অসীম দয়ালু	1	رحم
1	2	ٱلۡحَمۡدُ	All praises and thanks	সকল প্রশংসা	1	حمد
1	2	لِلَّهِ	(be) to Allah	আল্লাহ্‌রই জন্য	1	اله
1	2	رَبِّ	the Lord	(যিনি) রব	1	ربب
1	2	ٱلۡعَٰلَمِينَ	of the universe	সারা জগতের	1	علم
1	3	ٱلرَّحۡمَٰنِ	The Most Gracious	অশেষ করুণাময়	1	رحم
1	3	ٱلرَّحِيمِ	the Most Merciful	পরম দয়ালু	1	رحم
1	4	مَٰلِكِ	(The) Master	অধিপতি	1	ملك
1	4	يَوۡمِ	(of the) Day	দিনের	1	يوم
1	4	ٱلدِّينِ	(of the) Judgment	বিচারের	1	دين
1	5	إِيَّاكَ	You Alone	আপনারই শুধু	1	ايي
1	5	نَعۡبُدُ	we worship	আমরা ইবাদত করি	1	عبد
1	5	وَإِيَّاكَ	and You Alone	এবং আপনারই (কাছে  শুধু)	1	ايي
1	5	نَسۡتَعِينُ	we ask for help	আমরা সাহায্য চাই।	1	عون
1	6	ٱهۡدِنَا	Guide us	আমাদেরকে দেখান	1	هدي
1	6	ٱلصِّرَٰطَ	(to) the path	পথ	1	صرط
1	6	ٱلۡمُسۡتَقِيمَ	the straight	সরল সঠিক	1	قوم
1	7	صِرَٰطَ	(The) path	(সেই) পথে	1	صرط
1	7	ٱلَّذِينَ	(of) those	যাদেরকে	1	اللذ
1	7	أَنۡعَمۡتَ	You have bestowed (Your) Favors	আপনি অনুগ্রহ দান করেছেন	1	نعم
1	7	عَلَيۡهِمۡ	on them	তাদের উপর	1	علي
1	7	غَيۡرِ	not (of)	নয় (পথ)	1	غير
1	7	ٱلۡمَغۡضُوبِ	those who earned (Your) wrath	অভিশপ্তদের	1	غضب
1	7	عَلَيۡهِمۡ	on themselves	যাদের উপর (গজব পরেছে)	1	علي
1	7	وَلَا	and not	এবং না	1	لا
1	7	ٱلضَّآلِّينَ	(of) those who go astray	পথভ্রষ্টদের	1	ضلل
2	1	الٓمٓ	Alif Laam Meem	আলিফ লা-ম মী-ম	2	الم
2	2	ذَٰلِكَ	That	(এটা) সেই	2	ذلك
2	2	ٱلۡكِتَٰبُ	(is) the book	মহাগ্রন্থ (আল্লাহর)	2	كتب
2	2	لَا	no	নেই	2	لا
2	2	رَيۡبَۛ	doubt	কোনো সন্দেহ	2	ريب
2	2	فِيهِۛ	in it	তাঁরমধ্যে	2	في
2	2	هُدٗى	a Guidance	সৎপথ নির্দেশ (হেদায়াত)	2	هدي
2	2	لِّلۡمُتَّقِينَ	for the Godconscious	মুত্তাকীদের জন্য	2	وقي
2	3	ٱلَّذِينَ	Those who	যারা	2	اللذ
2	3	يُؤۡمِنُونَ	believe	বিশ্বাস করে	2	امن
2	3	بِٱلۡغَيۡبِ	in the unseen	অদৃশ্যের ওপর	2	غيب
2	3	وَيُقِيمُونَ	and establish	এবং প্রতিষ্ঠিত করে	2	قوم
2	3	ٱلصَّلَوٰةَ	the prayer	সালাত	2	صلو
2	3	وَمِمَّا	and out of what	ও তা হতে যা	2	مما
2	3	رَزَقۡنَٰهُمۡ	We have provided them	তাদের আমরা জীবিকা দিয়েছি	2	رزق
2	3	يُنفِقُونَ	they spend	তারা ব্যয় করে	2	نفق
2	4	وَٱلَّذِينَ	And those who	এবং যারা	2	اللذ
2	4	يُؤۡمِنُونَ	believe	বিশ্বাস করে	2	امن
2	4	بِمَآ	in what	ঐ বিষয়ে যা	2	بما
2	4	أُنزِلَ	(is) sent down	অবতীর্ণ করা হয়েছে	2	نزل
2	4	إِلَيۡكَ	to you	তোমার প্রতি	2	الي
2	4	وَمَآ	and what	এবং যা	2	ما
2	4	أُنزِلَ	was sent down	অবতীর্ণ করা হয়েছে	2	نزل
2	4	مِن	from	থেকে	2	من
2	4	قَبۡلِكَ	before you	তোমার পূর্বে	2	قبل
2	4	وَبِٱلۡأٓخِرَةِ	and in the Hereafter	এবং আখিরাতের উপর	2	اخر
2	4	هُمۡ	they	তারা	2	هم
2	4	يُوقِنُونَ	firmly believe	দৃঢ়বিশ্বাস রাখে	2	يقن
2	5	أُوْلَٰٓئِكَ	Those	তারাই (প্রতিষ্ঠিত)	2	اولا
2	5	عَلَىٰ	(are) on	উপর	2	علي
2	5	هُدٗى	Guidance	সত্যপথের	2	هدي
2	5	مِّن	from	পক্ষ হতে	2	من
2	5	رَّبِّهِمۡۖ	their Lord	তাদের রবের	2	ربب
2	5	وَأُوْلَٰٓئِكَ	and those 	এবং তারাই (ঐসব লোক)	2	اولا
2	5	هُمُ	they	যারা	2	هم
2	5	ٱلۡمُفۡلِحُونَ	(are) the successful ones	সফলকাম	2	فلح
3	6	إِنَّ	Indeed	নিশ্চয়ই	2	انن
3	6	ٱلَّذِينَ	those who	যারা	2	اللذ
3	6	كَفَرُواْ	disbelieve[d]	অবিশ্বাস করেছে	2	كفر
3	6	سَوَآءٌ	(it) is same	সমান	2	سوي
3	6	عَلَيۡهِمۡ	to them	তাদের জন্যে	2	علي
3	6	ءَأَنذَرۡتَهُمۡ	whether you warn them	তাদের তুমি সতর্ক কর কি	2	نذر
3	6	أَمۡ	or	অথবা	2	ام
3	6	لَمۡ	not	না	2	لم
3	6	تُنذِرۡهُمۡ	you warn them	সতর্ক কর তুমি তাদেরকে	2	نذر
3	6	لَا	not	না	2	لا
3	6	يُؤۡمِنُونَ	they believe	তারা ঈমান আনবে	2	امن
3	7	خَتَمَ	Has set a seal	সিল মেরে দিয়েছেন	2	ختم
3	7	ٱللَّهُ	Allah	আল্লাহ	2	اله
3	7	عَلَىٰ	on	উপর	2	علي
3	7	قُلُوبِهِمۡ	their hearts	তাদের অন্তরের	2	قلب
3	7	وَعَلَىٰ	and on	এবং উপর	2	علي
3	7	سَمۡعِهِمۡۖ	their hearing	তাদের শ্রবণশক্তির	2	سمع
3	7	وَعَلَىٰٓ	and on	এবং উপর	2	علي
3	7	أَبۡصَٰرِهِمۡ	their vision	তাদের দৃষ্টিশক্তির	2	بصر
